,values
0,Very Good
1,My stay was magical! This was my first solo leisure trip and I couldn’t have imagined a better place. definitely going b
2,Beautiful place; Nice stay and friendly people
3,Wonderful place to stay in Diani
4,Paradise
5,Very nice and well maintained hotel but be carefull with tuk tuk
6,Perfect gateway ever!
7,100% perfect
8,Exceptional
9,Wonderful
10,amazing
11,Very Good
12,perfect if the villa is your focus and you need peace and quiet without the crowding of other resorts
13,Wonderful
14,Great value
15,"Lovely place, spacious"
16,excellent
17,Excellent
18,"For our first time In Kenya,we felt at home"
19,..A nice get away.
20,Great experience in a hidden gem.
21,Exceptional
22,Overall our family had a relaxing and chilled time at a perfect location😍.
23,if you like small hotels it’s the best stay in Diani
24,I will definitely be back
25,Exceptional
26,I will definitely consider staying again
27,Lovely boutique hotel with very attentive staff
28,Wonderful
29,it’s like heaven!
30,Luxurious and relaxing
31,Exceptional
32,Exceptional
33,"This trip was phenomenal! My stay at the hotel was better than I had anticipated. The staff were very friendly, professi"
34,Memories of my lifetime
35,Recommend to all.
36,The perfect place to while away a few days in Diani.
37,attention to guests won me over
38,absolutely hidden niche in Diani
39,Wonderful
40,Good
41,Exceptional
42,Wonderful
43,The resort exceeded my expectations!
44,"lovely rooms, great pool and good location"
45,💖
46,surreal
47,Amazinggggggggggggggg!!!! Divine!!!
48,Comfort with great pool
49,Unique Architecture - Wonderful Place!
50,Very Good
51,We had a fantastic 4
52,Beautiful sa
53,memorable
54,amazing stay. Will definitely be going back
55,A bucket list stay
56,Honey moon experience
57,Lovely
58,Very Good
59,Good
60,Best beach hotel in Diani
61,Very Good
62,Wonderful
63,Very Good
64,amazing excellent
65,Lovely relaxing stay with amazing food.
66,Exceptional
67,Best resort in Mombasa
68,"luxurious, understated elegance"
69,Accommodation comforts and hygiene need a lot of improvement.
70,good outdoor but rooms need upgrades
71,"Enjoyable mini-vacation, very relaxing environment"
72,Will definitely visit again
73,Very Good
74,"I will come back with my children, I felt safe and well taken care, breakfast option is top notch,"
75,"Lovely hotel with beautiful pools, some room for improvement but would return."
76,if you need a break filled with beauty … this is the place for you
77,A perfect Holliday !
78,"very relaxing stay in a lovely hotel. 4 different restaurants,friendly staff,and a good location."
79,All okay for a reasonable price
80,"Amazing experience, luxurious and relaxing."
81,Good
82,Can't wait to go back! We miss the hotel and staff already!
83,Pleasant
84,Very Good
85,Exceptional
86,Exceptional
87,Good
88,Exceptional
89,Exceptional
90,"Overall, a wonderful experience and i will certainly be staying there next chance i get!"
91,excellent place. great value for money. would definitely recommend.
92,Wir kommen wieder !
93,Extraordinaire
94,Perfekt!
95,Exceptional
96,Exceptional
97,Exceptional
98,Exceptional
99,Very Good
100,Very Good
101,Wonderful
102,Would visit again and highly recommend.
103,Beautiful!
104,Exceptional
105,Absolute bliss and heaven on earth
106,Interesting and memorable
107,Very Good
108,wonderful stay in a beach paradise
109,Wonderful
110,Wonderful
111,Exceptional
112,Beautiful and lovely place worth a stay.
113,"great place,best restaurant by far."
114,Exceptional
115,Amazing hotel to relax
116,"it’s a beautiful place to stay at , ask Rally for anything and he let you know how to have a good time in diani beach ,"
117,"The girls that get it, get it. And the girls that don’t, dont. 10/10."
118,Amazing stay in beautiful location
119,amazing long weekend
120,best beach front hotel in Diani
121,worlds bests beach and hotel combination by far
122,perfect for relaxing
123,Great lifetime memories were made here!
124,The best place to stay.
125,"AMAZING place to stay, relax, swim and dive."
126,"Gorgeous beach, very relaxing - great food!"
127,Paradise!
128,Best hotel in Diani
129,Very Good
130,Great hotel.
131,"Excellent stay, I will come back to this hotel"
132,Wonderful
133,Very Good
134,rise with the tide and go with the flow
135,The privacy and the staff 👍🏿
136,Exceptional
137,"Look for Suzan, Hospitality is her middle name! 😎"
138,Top notch
139,Very Good
140,Loved it !!
141,Good
142,Wonderful
143,Lovely Beach property
144,Good
145,Very Good
146,2022 vacation... Diani beach
147,Beautiful beach. Delicious food with lots of options.
148,Very Good
149,Amazing stay
150,Amazing stay!
151,Wonderful
152,Very Good
153,staff friendly and most of hotel and grounds lovely but rooms tired
154,Good
